metric,value
token_precision,0.20412658188119095
token_recall,0.15150213954442018
token_f1,0.1667914144123044
flesch_reading_ease,80.33669097520728
flesch_kincaid_grade,5.641218971945459
entity_preservation,0.042328042328042326
number_preservation,
sari,20.725839355022387
bert_precision,0.8359832763671875
bert_recall,0.8243469595909119
bert_f1,0.8298555016517639
bleu,0.005663838266001697
rouge_l,0.15415285179364094
training_loss,11.360243932724
validation_loss,13.714918823242188
best_validation_simplification_loss,6.7470451354980465
test_loss,14.863710602124533
test_simplification_loss,7.415891766548157
test_reconstruction_loss,7.44781889518102
trainable_parameters,18788244
training_duration_seconds,134.34377816700726
inference_duration_seconds,15.752953292016173
examples_per_second,12.124710615170908
