epoch,train_total_loss,train_simplification_loss,train_reconstruction_loss,validation_total_loss,validation_simplification_loss,validation_reconstruction_loss,learning_rate
1,14.838155055999756,7.318397346496582,7.519757659912109,14.289673881530762,7.015865077972412,7.273808784484864,0.0003
2,13.258841659545899,6.504907602310181,6.7539340782165525,13.754537925720214,6.776927394866943,6.977610511779785,0.0003
3,12.381927207946777,6.11703196144104,6.264895235061646,13.371491050720214,6.7379099464416505,6.6335811424255375,0.0003
4,11.398635555267335,5.802637959480285,5.595997617721558,12.734801597595215,6.703211650848389,6.03158992767334,0.0003
5,10.425922788619996,5.55044660282135,4.875476150512696,12.316049499511719,6.713544406890869,5.602505283355713,0.0003
