epoch,train_total_loss,train_simplification_loss,train_reconstruction_loss,validation_total_loss,validation_simplification_loss,validation_reconstruction_loss,learning_rate
1,9.187336616516113,7.308252658843994,7.51633595085144,8.854673805236816,7.061825733184815,7.17139238357544,0.0003
2,8.199763343811036,6.507915943145752,6.7673895587921145,8.693420429229736,6.918340892791748,7.100318202972412,0.0003
3,7.727899864196777,6.134270574569702,6.374517154693604,8.646912174224854,6.905947322845459,6.963859310150147,0.0003
4,7.337297100067139,5.825845002174377,6.045808423995972,8.62097822189331,6.879481391906738,6.965987434387207,0.0003
5,6.998055767059326,5.561600934028625,5.745819379806519,8.649530906677246,6.927392997741699,6.888551368713379,0.0003
