epoch,train_total_loss,train_simplification_loss,train_reconstruction_loss,validation_total_loss,validation_simplification_loss,validation_reconstruction_loss,learning_rate
1,14.735081344604492,7.272462656021118,7.462618690490722,13.679457893371582,6.81422643661499,6.865231399536133,0.0003
2,12.474503017425537,6.397327703475952,6.077175302505493,12.0893985748291,6.655148029327393,5.434250583648682,0.0003
3,10.710249324798584,5.9912971572875975,4.718952154159546,11.26949863433838,6.635577201843262,4.6339213657379155,0.0003
4,9.563402927398682,5.651998027801514,3.9114048976898195,10.607763328552245,6.598326930999756,4.009436330795288,0.0003
5,8.667893140792847,5.37384836101532,3.294044795036316,10.316589698791503,6.641161918640137,3.675427780151367,0.0003
