epoch,train_total_loss,train_simplification_loss,train_reconstruction_loss,validation_total_loss,validation_simplification_loss,validation_reconstruction_loss,learning_rate
1,14.97865955734253,7.380630807876587,7.598028774261475,14.23913860321045,6.969888668060303,7.269250068664551,0.0003
2,13.335003467559815,6.513265558242798,6.821737915039063,13.908763198852538,6.810762805938721,7.098000411987305,0.0003
3,12.469508560180664,6.087412275314331,6.382096284866333,13.693561210632325,6.750073051452636,6.943488330841064,0.0003
4,11.705757652282715,5.720367693901062,5.985389961242676,13.603069343566894,6.746252784729004,6.8568164825439455,0.0003
5,11.005305170059204,5.415188123703003,5.590117067337036,13.442667541503907,6.763678112030029,6.678989372253418,0.0003
