epoch,train_total_loss,train_simplification_loss,train_reconstruction_loss,validation_total_loss,validation_simplification_loss,validation_reconstruction_loss,learning_rate
1,11.065543033599853,7.307590473175049,7.5159051151275635,10.632231178283691,7.053880214691162,7.1567018699646,0.0003
2,9.886886089324951,6.5052101612091064,6.763351829528808,10.45163429260254,6.9138985443115235,7.075471515655518,0.0003
3,9.31173023223877,6.131029920578003,6.361400619506836,10.369438514709472,6.899741802215576,6.939393482208252,0.0003
4,8.834727941513062,5.823441903114319,6.022572118759156,10.331348381042481,6.871442222595215,6.919812202453613,0.0003
5,8.410631561279297,5.560004053115844,5.701255079269409,10.318144187927246,6.920858078002929,6.794571990966797,0.0003
