metric,value
token_precision,0.16155406890214505
token_recall,0.159549430257471
token_f1,0.1515134981753861
flesch_reading_ease,67.81045223788408
flesch_kincaid_grade,9.13907886489281
entity_preservation,0.037037037037037035
number_preservation,
sari,20.968121448952743
bert_precision,0.8083937168121338
bert_recall,0.8234222531318665
bert_f1,0.815385639667511
bleu,0.0026967814289720116
rouge_l,0.14164346199283814
training_loss,11.182964405059815
validation_loss,13.518115043640137
best_validation_simplification_loss,6.8545544242858885
test_loss,14.799464305241903
test_simplification_loss,7.548243244489034
test_reconstruction_loss,7.251221040884654
trainable_parameters,18811284
training_duration_seconds,127.59875562498928
inference_duration_seconds,19.191918166005053
examples_per_second,9.952105795152947
