epoch,train_total_loss,train_simplification_loss,train_reconstruction_loss,validation_total_loss,validation_simplification_loss,validation_reconstruction_loss,learning_rate
1,7.305261552810669,7.305261552810669,0.0,7.066124668121338,7.066124668121338,0.0,0.0003
2,6.502410152435303,6.502410152435303,0.0,6.933160743713379,6.933160743713379,0.0,0.0003
3,6.132768156051636,6.132768156051636,0.0,6.87493200302124,6.87493200302124,0.0,0.0003
4,5.833523446083069,5.833523446083069,0.0,6.8854920768737795,6.8854920768737795,0.0,0.0003
5,5.563517656326294,5.563517656326294,0.0,6.911010513305664,6.911010513305664,0.0,0.00015
